trade_id,pv,delta,vega
583,368.082,6.616,9.565
584,242.572,-9.019,2.684
585,-685.342,-9.464,-2.06
586,4.143,-0.081,0.571
587,0.112,0.033,0.078
588,-133.739,1.606,-7.339
589,19.224,2.62,1.109
590,0.0,-0.0,0.0
591,-169.909,-5.005,-5.986
592,911.782,-11.115,-0.379
593,177.129,7.444,4.661
594,-0.0,0.0,-0.0
595,62.154,4.766,2.449
596,245.744,-2.051,8.02
597,-377.241,-7.979,-5.352
598,126.902,-2.296,6.985
599,667.529,9.084,4.024
600,-66.885,6.402,-2.279
601,314.137,8.066,6.007
602,0.0,-0.0,0.0
603,-59.62,-7.259,-1.932
604,0.0,-0.0,0.0
605,75.341,4.877,3.621
606,-390.863,2.845,-9.562
607,958.65,9.804,1.338
608,239.827,-6.922,5.679
609,-55.469,-3.26,-2.377
610,30.283,-1.155,2.994
611,230.546,5.447,7.95
612,-25.662,2.485,-4.171
613,711.3,9.37,2.116
614,24.256,-0.869,3.334
615,-0.0,-0.0,-0.0
616,299.688,-2.821,6.586
617,36.424,3.721,1.864
618,-433.472,6.058,-2.605
619,146.232,4.896,9.002
620,600.905,-5.317,5.592
621,-134.233,-4.681,-5.685
622,12.93,-0.445,1.465
623,169.114,10.0,0.001
624,-943.28,-10.503,-0.682
625,7.675,-0.225,1.141
626,121.47,4.608,5.866
627,-50.026,1.381,-2.309
628,71.347,4.783,2.888
629,0.665,-0.102,0.352
630,-70.099,-3.414,-3.912
631,0.0,-0.0,0.0
632,68.993,3.482,9.159
633,-7.404,0.127,-0.945
634,321.389,7.064,7.802
635,803.617,-8.082,2.392
636,-310.866,-8.364,-2.071
637,0.0,-0.0,0.0
638,1119.562,10.0,0.0
639,-245.693,3.088,-7.556
640,2.928,1.129,1.413
641,772.637,-10.0,0.0
642,-233.113,-6.006,-8.044
643,288.768,-2.163,9.282
644,0.006,0.003,0.008
645,-385.808,6.625,-3.813
646,538.062,9.772,0.978
647,62.777,-2.98,7.083
648,-1018.202,-11.187,-0.605
649,2.797,-0.167,0.831
650,0.0,0.0,0.0
651,-214.264,3.53,-5.883
652,872.875,10.0,0.0
653,142.666,-2.726,5.315
654,-187.795,-6.295,-3.671
655,170.348,-9.007,0.9
656,255.796,7.693,10.977
657,-74.486,1.01,-4.237
658,294.377,7.02,5.461
659,0.015,-0.001,0.006
660,-1174.537,-10.0,-0.0
661,256.43,-2.692,7.316
662,0.125,0.033,0.035
663,-350.264,9.791,-0.166
664,97.594,6.179,4.217
665,812.389,-9.996,0.005
666,-906.683,-9.262,-3.705
667,751.965,-9.074,0.959
668,399.97,8.353,6.018
669,-60.529,1.356,-4.297
670,110.243,6.295,2.215
671,1.08,-0.306,0.552
672,-155.271,-9.957,-1.495
673,79.198,-3.688,1.624
674,13.414,3.644,1.815
675,-174.591,2.527,-5.865
676,697.548,9.798,1.143
677,109.81,-5.716,3.367
678,-1160.011,-10.0,-0.0
679,194.579,-4.356,3.815
680,393.715,9.422,7.253
681,-689.202,9.875,-0.371
682,854.567,9.99,0.073
683,673.007,-9.017,2.009
684,-52.295,-4.293,-2.501
685,528.709,-5.593,7.298
686,4.857,0.731,1.251
687,-906.59,8.679,-1.237
688,1.732,0.373,0.918
689,1.251,-0.226,0.576
690,-505.086,-9.513,-1.504
691,997.985,-9.644,0.271
692,491.872,9.941,0.125
693,-401.947,9.507,-1.535
694,119.354,9.992,0.006
695,239.7,-6.595,3.798
696,-0.0,-0.0,-0.0
697,180.568,-3.336,5.869
698,205.585,5.439,7.446
699,-373.826,6.923,-2.134
700,502.505,8.678,4.917
701,33.085,-0.587,2.787
702,-0.0,-0.0,-0.0
703,393.835,-2.824,9.638
704,0.069,0.1,0.1
705,-331.412,7.41,-3.515
706,348.671,6.436,7.122
707,0.0,-0.0,0.0
708,-845.4,-9.877,-0.585
709,67.049,-1.105,4.279
710,437.607,10.0,0.0
711,-243.069,6.502,-8.243
712,28.031,4.256,1.269
713,81.865,-1.12,4.446
714,-498.871,-7.151,-8.949
715,191.241,-8.843,1.161
716,996.715,9.802,1.476
717,-174.406,7.676,-2.339
718,1177.668,9.936,0.494
719,319.278,-9.988,0.02
720,-31.72,-3.534,-2.303
721,0.969,-0.171,0.159
722,1030.239,10.0,0.0
723,-0.21,0.01,-0.091
724,214.611,7.167,10.305
725,95.871,-2.431,7.994
726,-1103.642,-10.0,-0.0
727,194.14,-5.896,5.851
728,228.929,8.266,5.349
729,-36.34,1.709,-2.176
730,0.0,0.0,0.0
731,17.869,-1.089,2.51
732,-564.021,-9.333,-2.999
733,7.178,-0.337,1.694
734,587.858,9.998,0.014
735,-124.837,3.662,-6.719
736,491.135,8.363,12.696
737,8.958,-0.351,2.234
738,-203.358,-6.438,-5.519
739,10.739,-1.123,1.698
740,390.355,7.068,8.737
741,-0.0,0.0,-0.0
742,34.151,4.434,1.907
743,422.321,-10.0,0.0
744,-9.195,-1.738,-1.039
745,889.421,-10.0,0.0
746,430.992,10.0,0.0
747,-70.953,1.642,-4.552
748,363.424,8.286,5.513
749,394.007,-5.285,7.753
750,-760.134,-10.0,-0.0
751,297.124,-6.471,6.736
752,32.393,3.446,1.978
753,-407.96,9.818,-0.391
754,1021.591,10.0,0.002
755,0.008,-0.004,0.002
756,-0.0,-0.0,-0.0
757,500.628,-7.681,2.238
758,377.778,9.453,1.581
759,-280.17,4.085,-6.818
760,681.166,11.13,4.508
761,108.974,-2.643,5.739
762,-87.477,-3.704,-4.039
763,0.027,-0.008,0.025
764,99.375,6.649,2.153
765,-30.151,1.042,-2.468
766,0.0,0.0,0.0
767,570.668,-10.0,0.0
768,-0.0,-0.0,-0.0
